variable,label,dtype,n_unique,n_missing,pct_missing,value_labels,missing_codes
QKEY,Unique ID,float64,11004,0,0.0,,
INTERVIEW_START_W119,Interview start time,datetime64[ns],9831,0,0.0,,
INTERVIEW_END_W119,Interview end time,datetime64[ns],10076,0,0.0,,
DEVICE_TYPE_W119,The device used in the latest access of the survey link,float64,3,0,0.0,"{1.0: 'Laptop/PC', 2.0: 'Smartphone', 3.0: 'Tablet', 4.0: 'SmartTV', 5.0: 'None of the above'}",
LANG_W119,LANG_W119.  Language of interview,float64,2,0,0.0,"{1.0: 'English', 2.0: 'Spanish'}",
FORM_W119,Wave 119 form assignment,float64,2,0,0.0,"{1.0: 'Form 1', 2.0: 'Form 2'}",
DESRISK_COMF_W119,DESRISK_COMF_W119. How well do each of the following phrases describe you?    Comfortable taking risks,float64,6,0,0.0,"{1.0: 'Extremely well', 2.0: 'Very well', 3.0: 'Somewhat well', 4.0: 'Not too well', 5.0: 'Not at all well', 99.0: 'Refused'}",99.0=Refused
DESRISK_CREAT_W119,DESRISK_CREAT_W119. How well do each of the following phrases describe you?    Creative thinker,float64,6,0,0.0,"{1.0: 'Extremely well', 2.0: 'Very well', 3.0: 'Somewhat well', 4.0: 'Not too well', 5.0: 'Not at all well', 99.0: 'Refused'}",99.0=Refused
DESRISK_NTECH_W119,DESRISK_NTECH_W119. How well do each of the following phrases describe you?    Enjoy using new technology,float64,6,0,0.0,"{1.0: 'Extremely well', 2.0: 'Very well', 3.0: 'Somewhat well', 4.0: 'Not too well', 5.0: 'Not at all well', 99.0: 'Refused'}",99.0=Refused
RISK2_W119,"RISK2_W119. Thinking about the decisions you make as you go through life, which better describes how you feel?",float64,3,0,0.0,"{1.0: 'Taking risks usually pays off in the end', 2.0: 'Taking risks too often leads to problems', 99.0: 'Refused'}",99.0=Refused
AI_HEARD_W119,"AI_HEARD_W119. Artificial intelligence (AI) is designed to learn tasks that humans typically do, for instance recognizing speech or pictures. How much have you heard or read about AI?",float64,4,0,0.0,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}",99.0=Refused
