model_name,n_features,roc_auc_weighted,pr_auc_weighted,brier_weighted,ece_weighted,balanced_acc_weighted
LR: Matched Raw (9 items),9,0.8390345844391761,0.7772496810200711,0.15109049529224694,0.029266428138801794,0.7513221357970776
GBM: Matched Raw (9 items),9,0.8411469953431074,0.7834069573966196,0.15065229908106129,0.03149770220196691,0.7462889443869318
LR: Matched + NotSure Ind,15,0.8397092093145518,0.7752863777872682,0.1514934867501385,0.042410017420336454,0.7517080456940548
GBM: Matched + NotSure Ind,15,0.8390796078318206,0.7786737793216657,0.15231930482917175,0.038522297773990924,0.7491255893189135
LR: Latent Only,1,0.7930307342741707,0.7252868027762623,0.1716015137915942,0.05746063874783511,0.70069015254497
GBM: Latent Only,1,0.7557461995201271,0.695552516053763,0.1828951088030692,0.09176210796522423,0.7069477610594431
LR: Latent + NotSure Count,2,0.7958926701443695,0.7307858794325083,0.17078535711715184,0.06503070670883404,0.7209718972090622
GBM: Latent + NotSure Count,2,0.7642931664125542,0.7021975034012182,0.17854442879502092,0.07578849948390869,0.7134545412343594
LR: Latent + Know + Demo,13,0.8339675420383067,0.7650526820448678,0.15650498983870098,0.05810689804182206,0.7343036127679601
GBM: Latent + Know + Demo,13,0.810749782090181,0.7486001628575989,0.16190339876218077,0.042014032635415,0.7389067446380756
LR: Latent + Know + Demo + NotSure,14,0.8353269420835453,0.7688885954179049,0.15621692249395686,0.05648588459080449,0.7364279014536795
GBM: Latent + Know + Demo + NotSure,14,0.8055434729665637,0.7462829095731143,0.1631290115493239,0.04168969211281044,0.7305952583382556
